no,tango,kana,en,zh,vi
0883,乳,ちち,Milk,乳汁,sữa
0884,知能,ちのう,Intelligence,智力、智能,trí thông minh
0885,治療,ちりょう,Treat,治疗,"chữa trị, điều trị"
0886,手当て/手当,てあて,"Care, allowance",治疗、津贴,trợ cấp
0887,伝染,でんせん,Contagious,传染、传播,truyền nhiễm
0888,にきび,,Acne,青春痘、粉刺,mụn trứng cá
0889,尿,にょう,Urine,尿液,nước tiểu
0890,妊娠,にんしん,Pregnant,妊娠、怀孕,mang thai
0891,脳,のう,Brain,脑,não
0892,左利き,ひだりきき,Left-handed,左撇子,thuận tay trái
0893,肥満,ひまん,Obesity,肥胖,béo phì
0894,日焼け,ひやけ,Sunburn,日晒、晒黑,cháy nắng
0895,美容,びよう,Beauty,美容,sắc đẹp
0896,疲労,ひろう,Fatigue,疲劳,"mệt nhọc, mệt mỏi"
0897,貧血,ひんけつ,Anemia,贫血,thiếu máu
0898,服用,ふくよう,Take (medicine),服用,"uống thuốc, dùng thuốc"
0899,包帯,ほうたい,Bandage,绷带,băng
0900,保健,ほけん,Health,保健,chăm sóc sức khỏe
0901,本能,ほんのう,Instinct,本能,bản năng
0902,マッサージ,,Massage,按摩,mát xa
0903,脈,みゃく,Pulse,脉搏,mạch máu
0904,目まい,めまい,Dizzy,眩晕,chóng mặt
0905,輸血,ゆけつ,Transfusion,输血,truyền máu
0906,リラックス,,Relax,放松,thư giãn
0907,脇,わき,Side,腋下,nách
0908,あご,,"Jaw, chin",颌、下巴,cằm
0909,親指,おやゆび,"Thumb, big toe",大拇指,ngón cái
0910,薬指,くすりゆび,"Ring finger, third finger",无名指,ngón áp út
0911,小指,こゆび,"Little finger, little toe",小指,ngón út
0912,腸,ちょう,Intestine,肠,ruột
0913,手首,てくび,Wrist,手腕,cổ tay
0914,中指,なかゆび,"Middle finger, second finger",中指,ngón giữa
0915,ひざ,,Knee,膝盖,đầu gối
0916,ひじ,,Elbow,肘关节,khuỷu tay
0917,額,ひたい,Forehead,额头,trán
0918,人さし指,ひとさしゆび,"Forefinger, index finger",食指,ngón trỏ
0919,へそ,,Navel,肚脐,rốn
0920,便,べん②,Stool,排泄物,phân
0921,頰,ほお,Cheek,脸颊,má
0922,ほっぺた,,Cheek,脸蛋,má
0923,まぶた,,Eyelid,眼皮,mí mắt
0924,眉,まゆ,Eyebrow,眉毛,lông mày眉まゆ毛げ
0925,もも,,Thigh,大腿,đùi
0926,嵐,あらし,Storm,暴风雨,bão
0927,火災,かさい,Fire,火灾,hỏa hoạn
0928,救助,きゅうじょ,"Rescue, save",救助、搭救,cứu
0929,豪雨,ごうう,Torrential rain,暴雨,mưa lớn
0930,強盗,ごうとう,"Robber, thief",强盗,trộm
0931,災害,さいがい,Disaster,灾害,thảm họa
0932,災難,さいなん,"Disaster, misfortune",灾难,"rủi ro, đen đủi"
0933,詐欺,さぎ,"Fraud, scam",欺诈、诈骗,lừa đảo
0934,殺人,さつじん,Murder,杀人,sát nhân
0935,死刑,しけい,Death sentence,死刑,tử hình
0936,自殺,じさつ,Suicide,自杀,tự sát
0937,死者,ししゃ,Dead person,死者,người chết
0938,死体,したい,"Dead body, cadaver",尸体,xác chết
0939,衝突,しょうとつ,"Collide, crash",相撞,"xung đột, va chạm"
0940,侵入,しんにゅう,"Intrude, break into",侵入、闯入,đột nhập
0941,竜巻,たつまき,"Tornado, twister",龙卷风,lốc xoáy
0942,沈没,ちんぼつ,Sinking,沉没,chìm
0943,追突,ついとつ,Crash into (from behind),追尾,đâm
0944,墜落,ついらく,Crash (plane),坠落,rơi
0945,盗難,とうなん,Theft,失窃、被盗,đánh cắp
0946,トラブル,,Trouble,纠纷、故障,"rắc rồi, trục trặc, vấn đề"
0947,爆発,ばくはつ,Explosion,爆发、爆炸,nổ
0948,被害,ひがい,Damage,受害、损失,"bị hại, chịu thiệt hại"
0949,噴火,ふんか,Eruption,喷火、喷发,phun trào
0950,防火,ぼうか,Fire prevention,防火,cứu hỏa
0951,放射能,ほうしゃのう,Radioactivity,核辐射、辐射力,năng lượng phóng xạ
0952,防犯,ぼうはん,Crime prevention,防止犯罪,phòng chống tội phạm
0953,暴風,ぼうふう,"Gale, storm",暴风,gió to
0954,暴風雨,ぼうふうう,Storm,暴风雨,mưa to gió lớn
0955,暴力,ぼうりょく,Violence,暴力,bạo lực
0956,万引き,まんびき,Shoplifting,店内盗窃,ăn cắp vặt
0957,アシスタント,,Assistant,助手、助理,trợ lý
0958,アマチュア,,Amateur,业余,nghiệp dư
0959,大家,おおや,Landlord,房东,chủ nhà
0960,お坊さん,おぼうさん,Monk,和尚,nhà sư
0961,おまえ,,You (informal),你,"bạn, mày, cậu"
0962,親,おや,Parent,父母,bố mẹ
0963,俺,おれ,I (informal),俺、我,"tao, tôi"
0964,課,か,"Section, department",科,"phòng, ban"
0965,外交官,がいこうかん,Diplomat,外交官,nhà ngoại giao
0966,学者,がくしゃ,Academic,学者,học giả
0967,幹事,かんじ,"Secretary, organizer",干事,người điều phối
0968,監督,かんとく,"Director, manager",教练、导演,"giám sát, quản lý"
0969,議員,ぎいん,Lawmaker,议员,nghị sĩ
0970,技師,ぎし,"Engineer, technician",工程师、技术人员,kỹ thuật viên
0971,議長,ぎちょう,"Chairman, chair",议长,chủ tịch
0972,キャプテン,,Captain,队长、船长,đội trưởng
0973,求人,きゅうじん,Job offer,招聘,tuyển người
0974,教員,きょういん,Lecturer,教员、教师,giáo viên
0975,勤務,きんむ,Work,上班、工作,làm việc
0976,刑事,けいじ,Detective,刑警,thanh tra
0977,ゲスト,,Guest,嘉宾,"khách, khách mời"
0978,欠勤,けっきん,Be away from work,缺勤,nghỉ phép
0979,講師,こうし,Lecturer,讲师,giảng viên
0980,後輩,こうはい,Somebody lower than you in seniority,后生、晚辈,đàn em
0981,裁判官,さいばんかん,Judge,法官,thẩm phán
0982,採用,さいよう,"Adopt, hire",录用、采取,"tuyển dụng, áp dụng"
0983,辞職,じしょく,Resign,辞职,"từ chức, nghỉ việc"
0984,自身,じしん,Own,自己、自身,"bản thân, chính mình"
0985,子孫,しそん,"Descendants, offspring",子孙,con cháu
0986,児童,じどう,Child,儿童,thiếu nhi
0987,姉妹,しまい,Sister,姐妹,chị em
0988,ジャーナリスト,,Journalist,新闻工作者、记者,nhà báo
0989,車掌,しゃしょう,Conductor,列车员、售票员,nhân viên tàu
0990,従業員,じゅうぎょういん,Employee,业务员、员工,nhân viên
0991,巡査,じゅんさ,Policeman,巡警,tuần tra
0992,上司,じょうし,"Boss, superior",上司,cấp trên
0993,職,しょく,"Job, post",职位,công việc
0994,職員,しょくいん,Staff member,职员,công chức
0995,職人,しょくにん,Craftsman,工匠,thợ
0996,職歴,しょくれき,Career history,工作经验,kinh nghiệm làm việc
0997,助手,じょしゅ,Assistant,助手,trợ lý
0998,知り合い,しりあい,Acquaintance,熟人,người quen
0999,素人,しろうと,Amateur,外行,nghiệp dư
1000,紳士,しんし,Gentleman,绅士、男士,quý ông
1001,人事,じんじ,Personnel,人事,nhân sự
1002,新人,しんじん,"Newcomer, new hire",新人,người mới
1003,審判,しんぱん,Referee,裁判,trọng tài
1004,人物,じんぶつ,Person,人物、人品,"nhân vật, người"
1005,親類,しんるい,Relatives,亲属、亲戚,họ hàng
1006,人類,じんるい,"Man, human race",人类,con người
1007,末っ子,すえっこ,Youngest child,最小的孩子,con út
1008,スタッフ,,Staff,员工,nhân viên
1009,青少年,せいしょうねん,Youth,青少年,thanh thiếu niên
1010,先祖,せんぞ,Ancestor (family),始祖、祖宗,"tổ tiên, gia tiên"
1011,祖先,そせん,Ancestors (mankind),祖先,tổ tiên
1012,大使,たいし,Ambassador,大使,đại sứ
1013,退職,たいしょく,Retire,退职、退休,nghỉ hưu
1014,知事,ちじ,Prefectural governor,知事、首长,tỉnh trưởng
1015,知人,ちじん,Acquaintance,相识、熟人,người quen
1016,チャンピオン,,Champion,冠军,nhà vô địch
1017,中高年,ちゅうこうねん,Middle-aged,中老年,trung niên
1018,著者,ちょしゃ,Author,作者,tác giả
1019,勤め先,つとめさき,Workplace,工作单位,nơi làm việc
1020,敵,てき,"Enemy, opposition",敌人、对手,"kẻ địch, kẻ thù"
1021,転勤,てんきん,"Relocate, transfer",转职、调动,chuyển việc
1022,同僚,どうりょう,Colleague,同事,đồng nghiệp
1023,読者,どくしゃ,Reader,读者,độc giả
1024,友,とも,Friend,朋友,bạn
1025,共働き,ともばたらき,Dual income,夫妻都工作、双职工,làm việc cùng nhau
1026,女房,にょうぼう,Wife,妻子、老婆,vợ
1027,農民,のうみん,"Farmers, country people",农民,nông dân
1028,博士,はくし/はかせ,Doctor (university),博士,tiến sĩ
1029,花嫁,はなよめ,Bride,新娘,cô dâu
1030,ビジネスマン,,Businessman,商务人士,doanh nhân
1031,秘書,ひしょ,Secretary,秘书,thư ký
1032,美人,びじん,Beauty,美女,người đẹp
1033,筆者,ひっしゃ,Author,笔者、作者,"tác giả, người viết"
1034,一人っ子,ひとりっこ,Only child,独生子女,một con
1035,部下,ぶか,Subordinate,部下,cấp dưới
1036,夫妻,ふさい,Couple,夫妻、夫妇,vợ chồng
1037,夫人,ふじん,"Wife, Mrs.",夫人,phu nhân
1038,婦人,ふじん,Woman,妇人,"quý bà, người phụ nữ"
1039,双子,ふたご,Twins,双胞胎,song sinh
1040,ベテラン,,Veteran,老手,"kỳ cựu, có kinh nghiệm"
1041,ヘルパー,,Helper,帮手、助手,giúp việc
1042,編集,へんしゅう,Edit,编辑,biên tập
1043,マスター,,"Owner (of shop, etc.)",老板,ông chủ
1044,マネージャー,,Manager,经纪人、经理,quản lý
1045,味方,みかた,"Ally, friend",同伴、朋友,"bạn, đồng minh"
1046,未成年,みせいねん,Minor,未成年,vị thành niên
1047,婿,むこ,Son-in-law,女婿,con rể
1048,名人,めいじん,Expert,能手,"chuyên gia, người nổi tiếng, bậc thầy"
1049,持ち主,もちぬし,Owner,持有者、所有者,chủ nhân
1050,者,もの,Person,人,người
1051,役員,やくいん,"Official, executive",干部、干事、领导层,nhân viên
1052,役人,やくにん,Official,官员、公务员,quan chức
1053,幼児,ようじ,Infant,幼儿,trẻ con
1054,嫁,よめ,Daughter-in-law,儿媳妇,con dâu
1055,ライバル,,Rival,竞争对手,đối thủ
1056,漁師,りょうし,Fisherman,渔夫,ngư dân
1057,悪者,わるもの,"Bad guy, villain",坏人,kẻ xấu
1058,我々,われわれ,We,我们、我等,chúng tôi
1059,売り上げ,うりあげ,Sales (figures),营业额,doanh thu
1060,売れ行き,うれゆき,Sales (performance),销路、销售情况,bán sản phẩm
1061,円高,えんだか,Yen appreciation,日元升值,đồng yên cao
1062,円安,えんやす,Yen weakness,日元贬值,đồng yên thấp
1063,オーダー,,Order,订购,"đặt hàng, đặt mua"
1064,おまけ,,Bonus,额外赠送、附带、打折,khuyến mại
1065,価格,かかく,Price,价格,giá
1066,額,がく,Amount,金额、数量,"khoản tiền, mức tiền"
1067,課税,かぜい,Tax,课税、征税,đánh thuế
1068,株式,かぶしき,"Stock, shares",股票,cổ phần
1069,為替,かわせ,Exchange,汇率、汇款,"ngân phiếu, hối đoái"
1070,関税,かんぜい,"Tariff, duty",关税,chịu thuế
1071,企業,きぎょう,Company,企业,nhà máy
1072,休業,きゅうぎょう,Suspension of business,停业、歇业,"đóng cửa, nghỉ bán"
1073,給与,きゅうよ,Salary,薪资,lương
1074,月謝,げっしゃ,Monthly tuition fee,每月的学费,lương tháng
1075,硬貨,こうか,Coin,硬币,tiền xu
1076,口座,こうざ,Account,账户、户头,tài khoản
1077,光熱費,こうねつひ,Utility costs,煤电费,tiền điện
1078,コスト,,Cost,成本,chi phí
1079,小銭,こぜに,Coin,零钱,tiền lẻ
1080,残高,ざんだか,Balance,余额,số dư tài khoản
1081,品切れ,しなぎれ,Out of stock,缺货、告罄,hết hàng
1082,紙幣,しへい,Bill,纸币,tiền giấy
1083,資本,しほん,Capital,资本,tiền vốn
1084,借金,しゃっきん,"Loan, borrowing",借款、借钱,"tiền nợ, vay tiền"
1085,需要,じゅよう,Demand,需求,nhu cầu
1086,商社,しょうしゃ,Trading company,贸易公司,công ty kinh doanh
1087,商売,しょうばい,Commerce,买卖,"thương mai, buôn bán"
1088,所得,しょとく,Income,收入、所得,thu nhập
1089,請求,せいきゅう,"Claim, demand",索取,yêu cầu
1090,精算,せいさん,"Pay the difference, pay the balance",细算、补交,thanh toán
1091,節約,せつやく,"Save, economize",节约,tiết kiệm
1092,送金,そうきん,Money transfer,寄钱、汇款,gửi tiền
1093,損害,そんがい,Damage,损害,"tổn hại, gây thiệt hại"
1094,損得,そんとく,Gain and loss,损益、得失,"được mất, thiệt hơn"
1095,代金,だいきん,"Price, cost",钱款、货款,hóa đơn
1096,通貨,つうか,Currency,通货、法定货币,tiền tệ
1097,手数料,てすうりょう,"Fee, commission",手续费,"chi phí, tiền hoa hồng"
1098,倒産,とうさん,Bankrupt,倒闭,phá sản
1099,値引き,ねびき,Discount,降价、打折,giảm giá
1100,年収,ねんしゅう,Annual income,年收入,thu nhập năm
1101,売買,ばいばい,Trading,买卖、交易,kinh doanh
1102,販売,はんばい,"Sell, market",贩卖、出售,Bán
1103,ビジネス,,Business,买卖、生意,kinh doanh
1104,品質,ひんしつ,Quality,品质、质量,chất lượng sản phẩm
1105,不景気,ふけいき,Recession,不景气、萧条,suy thoái kinh tế
1106,ブランド,,Brand,品牌、名牌,"nhãn hiệu, hàng hiệu"
1107,振り替え,ふりかえ,Substitute,调换、改换、转账,nghỉ bù
1108,分業,ぶんぎょう,Division of work,分工作业,phân công lao động
1109,メーカー,,"Maker, manufacturer",制造商,nhà sản xuất
1110,免税,めんぜい,Tax exemption,免税,miễn thuế
1111,利益,りえき,Profit,利益、利润,lợi nhuận
1112,利子,りし,Interest,利息,tiền lãi
1113,加工,かこう,Process,加工,"gia công, chế biến"
1114,原産,げんさん,Be native to,原产,nguồn gốc
1115,作物,さくもつ,Crops,农作物,cây trồng
1116,収穫,しゅうかく,Harvest,收获,thu hoạch
1117,出版,しゅっぱん,Publish,出版,xuất bản
1118,特産,とくさん,Specialty produce,特产,đặc sản
1119,農産物,のうさんぶつ,Agricultural products,农产品,sản phẩm nông nghiệp
1120,豊作,ほうさく,Good harvest,丰收,"bội thu, được mùa"
1121,見本,みほん,Sample,样本、样品,vật mẫu
1122,汚染,おせん,Pollution,污染,ô nhiễm
1123,温暖化,おんだんか,Global warming,温室效应,sự nóng lên toàn cầu
1124,外交,がいこう,Diplomacy,外交,ngoại giao
1125,革命,かくめい,Revolution,革命,cách mạng
1126,議会,ぎかい,"Parliament, Japanese Diet",议会,họp quốc hội
1127,基地,きち,Base,基地,căn cứ
1128,寄付,きふ,Donate,捐献、赠给,quyên góp
1129,共産主義,きょうさんしゅぎ,Communism,共产主义,chủ nghĩa cộng sản
1130,組合,くみあい,Labor union,行业协会、工会,công đoàn
1131,軍隊,ぐんたい,Army,军队,quân đội
1132,原爆,げんばく,Atomic bomb,原子弹,bom nguyên tử
1133,公害,こうがい,Pollution,公害,ô nhiễm
1134,公共,こうきょう,Public,公共,công cộng
1135,国家,こっか,Nation,国家,quốc gia
1136,国境,こっきょう,Border,国境、边境,biên giới
1137,差別,さべつ,Discriminate,歧视、差别对待,phân biệt
1138,市町村,しちょうそん,Local government (village to city level),市、町、村,"thành phố, thị trấn, làng xã"
1139,銃,じゅう,Gun,枪支,súng
1140,少子化,しょうしか,Falling birthrate,少子化,tỷ lệ sinh giảm
1141,人権,じんけん,Human rights,人权,nhân quyền
1142,スト（ストライキ）,,Strike,罢工,đình công
1143,政策,せいさく,Policy,政策,chính sách
1144,世間,せけん,Society at large,世间、世上、社会,"thế giới, xã hội"
1145,大国,たいこく,Great country,大国,"cường quốc, nước lớn"
1146,大戦,たいせん,Major war,大战,đại chiến
1147,弾,たま,Bullet,子弹、弹丸,đạn
1148,罪,つみ,Crime,罪,tội
1149,デモ②（デモンストレーション）,,Demo,示威运动、游行,"diễu hành, biểu tình"
1150,テロ,,Terrorism,恐怖活动,khủng bố
1151,党,とう,Political party,党、党派,đảng
1152,当選,とうせん,Win (vote),当选,giành giải thưởng
1153,爆弾,ばくだん,Bomb,炸弹,bom
1154,罰金,ばっきん,Fine,罚款,tiền phạt
1155,武器,ぶき,Weapon,武器,vũ khí
1156,福祉,ふくし,Welfare,福利、福祉,phúc lợi
1157,法,ほう,Law,法、法律,luật
1158,募金,ぼきん,Donation campaign,募捐,"quyên góp tiền, tài trợ tiền"
1159,世の中,よのなか,Society at large,世间、世上,trên thế giới
1160,立候補,りっこうほ,Candidate,参加竞选,ứng cử viên
1161,以降,いこう,"Since, from",以后、之后,sau
1162,一昨日,いっさくじつ,Day before yesterday,前天,hôm qua
1163,永遠,えいえん,Forever,永远、永恒,"mãi mãi, vĩnh viễn"
1164,永久,えいきゅう,Forever,永久、永远,"mãi mãi, vĩnh cửu"
1165,大みそか,おおみそか,New Year’s Eve,除夕,đêm giao thừa
1166,期末,きまつ,"Academic or fiscal year-end, term end",期末,cuối kỳ
1167,近代,きんだい,Modern,近代,cận đại
1168,暮れ,くれ,"Twilight, end",年终、岁末,"cuối, kết thúc"
1169,経過,けいか,"Pass, progress",经过、过去,"trải qua, quá trình"
1170,原始,げんし,Primitive,原始,"nguyên thủy, sơ khai"
1171,今後,こんご,"In the future, looking ahead",今后、以后,trong tương lai
1172,今日,こんにち,Today,现在、如今,ngày hôm nay
1173,最中,さいちゅう,In the middle of,正在……时候,trong lúc
1174,先ほど,さきほど,Earlier,刚才,"trước, vừa nãy"
1175,昨日,さくじつ,Yesterday,昨天,hôm qua
1176,昨年,さくねん,Last year,去年,năm ngoái
1177,昨夜,さくや,Last night,昨晚、昨夜,đêm qua
1178,瞬間,しゅんかん,Moment,瞬间,khoảnh khắc
1179,初旬,しょじゅん,Early part of a month,上旬,thượng tuần
1180,初日,しょにち,First day,第一天,ngày đầu
1181,末,すえ,End,末尾、末,cuối
1182,西暦,せいれき,Western calendar,公历、阳历,"lịch dương, lịch Tây"
1183,タイミング,,Timing,时机,"thời điêm, thời gian"
1184,短期,たんき,Short time,短期、短时间,"ngắn hạn, thời gian ngắn"
1185,近頃,ちかごろ,"Recently, these days",最近、近来,gần đây
1186,長期,ちょうき,Long term,长期,"dài hạn, thời gian dài"
1187,直後,ちょくご,Just after,刚……之后、……之后不久,ngay sau
1188,直前,ちょくぜん,"Just before, last-minute",即将……之前、眼看就要……的时候,ngay trước
1189,月日,つきひ,Period of time,时光、岁月,ngày tháng
1190,定年,ていねん,Age of retirement,退休年龄,tuổi về hưu
1191,当時,とうじ,At that time,当时、那时,khi đó
1192,長年,ながねん,Many years,长年、多年,nhiều năm
1193,半ば,なかば,Middle,中途,"nửa, giữa"
1194,日中,にっちゅう,Daytime,白天,trong ngày
1195,年間,ねんかん,Yearly,一年间,hàng năm
1196,年月,ねんげつ,"Years, time",年月、岁月,"năm tháng, thời gian"
1197,年度,ねんど,Fiscal year,年度,năm tài chính
1198,間,ま,"While, period",工夫、时间,khoảng thời gian
1199,明後日,みょうごにち,Day after tomorrow,后天,ngày hôm sau
1200,夜間,やかん,Night-time,夜间,"ban đêm, buổi tối"
1201,夜,よ,Night,夜,đêm
1202,夜明け,よあけ,"Dawn, first light",黎明,bình minh
1203,翌朝,よくあさ,Next or following morning,第二天早晨、次日早晨,sáng hôm sau
1204,翌日,よくじつ,Next or following day,第二天、次日,hôm sau
1205,翌年,よくねん/よくとし,Next or following year,第二年,năm sau
1206,例年,れいねん,Annual,往年、历年,"hàng năm, mọi năm"
1207,泡,あわ,Foam,泡、泡沫,bọt xà phòng
1208,生き物,いきもの,Creatures,生物,sinh vật sống
1209,泉,いずみ,Fountain,泉,suối
1210,遺伝子,いでんし,Gene,基因、遗传基因,gen di truyền
1211,緯度,いど,Latitude,纬度,vĩ độ
1212,引力,いんりょく,"Attraction, pull",引力,"lực hấp dẫn, lực hút"
1213,梅,うめ,Plum,梅、梅花,mơ
1214,沿岸,えんがん,Coast,沿岸、沿海,vùng ven bờ biển
1215,欧米,おうべい,The West,欧美,Âu Mỹ
1216,丘,おか,"Hill, slope",山冈、丘陵,đồi
1217,沖,おき,Offshore,海上,khơi
1218,落ち葉,おちば,Fallen leaves,落叶,lá rơi
1219,温帯,おんたい,Temperate zone,温带,ôn đới
1220,海岸,かいがん,Coast,海岸、海边,bờ biển
1221,快晴,かいせい,Fine weather,晴朗、万里无云,thời tiết đẹp
1222,火口,かこう,Crater,火山口,miệng núi lửa
1223,かび,,"Mold, fungus",霉,nấm
1224,下流,かりゅう,Downstream,下游、下层,hạ lưu
1225,気圧,きあつ,Atmospheric pressure,气压,áp suất không khí
1226,岸,きし,"Shore, bank",岸,bờ
1227,北半球,きたはんきゅう,Northern hemisphere,北半球,bắc bán cầu
1228,強風,きょうふう,"Gale, strong wind",强风,gió mạnh
1229,霧,きり,Fog,雾,sương mù
1230,くちばし,,"Beak, bill",鸟嘴、喙,mỏ
1231,経度,けいど,Longitude,经度,kinh độ
1232,高気圧,こうきあつ,High pressure,高气压,áp suất cao
1233,高原,こうげん,"Plateau, highlands",高原,cao nguyên
1234,降水確率,こうすいかくりつ,Likelihood of rain,降水概率,xác xuất có mưa
1235,合流,ごうりゅう,Confluence,汇合、合流,"đổ vào, hợp vào"
1236,昆虫,こんちゅう,Insect,昆虫,côn trùng
1237,砂漠,さばく,Desert,沙漠,sa mạc
1238,さび,,Rust,锈,rỉ sét
1239,山脈,さんみゃく,Mountain range,山脉,Dãy núi
1240,紫外線,しがいせん,Ultraviolet,紫外线,tia tử ngoại
1241,四季,しき,Four seasons,四季,bốn mùa
1242,湿気,しっけ/しっき,Moisture,湿气、潮气,độ ẩm
1243,しっぽ,,Tail,尾、尾巴,đuôi
1244,地盤,じばん,Ground,地基,nền đất
1245,地面,じめん,"Ground, soil",地面、地上,mặt đất
1246,霜,しも,Frost,霜,sương
1247,ジャングル,,Jungle,原始森林,rừng
1248,重力,じゅうりょく,Gravity,重力,trọng lực
1249,蒸発,じょうはつ,Evaporate,蒸发,bốc hơi
1250,上流,じょうりゅう,"Upstream, high-class",上游、上层,"thượng nguồn, thượng lưu"
1251,巣,す,Nest,巢、窝,tổ
1252,水蒸気,すいじょうき,Steam,水蒸气,hơi nước
1253,水分,すいぶん,"Moisture, water content",水分,lượng nước
1254,水平線,すいへいせん,Horizon,水平线、海平线,đường chân trời
1255,水面,すいめん,Water surface,水面,mặt nước
1256,杉,すぎ,Cedar,杉、杉木,cây tuyết tùng
1257,星座,せいざ,Constellation,星座,chòm sao
1258,晴天,せいてん,Fine weather,晴天,thời tiết đẹp
1259,積雪,せきせつ,Snow cover,积雪,tuyết rơi
1260,赤道,せきどう,Equator,赤道,xích đạo
1261,大気,たいき,Atmosphere,大气,khí quyển
1262,滝,たき,Waterfall,瀑布,thác
1263,竹,たけ,Bamboo,竹、竹子,tre
1264,谷,たに,Valley,山谷,thung lũng
1265,地,ち,"The Earth, place",地、地方,đất
1266,地下水,ちかすい,Groundwater,地下水,nước ngầm
1267,地形,ちけい,"Terrain, topography",地形、地势,địa hình
1268,地上,ちじょう,Above ground,地面、地上,trên mặt đất
1269,地平線,ちへいせん,Horizon,地平线,"chân trời, đường chân trời"
1270,ちょう,,Butterfly,蝴蝶,bướm
1271,頂上,ちょうじょう,"Top, peak",山顶、顶点,lên đỉnh
1272,翼,つばさ,Wing,翼、翅膀,cánh
1273,低気圧,ていきあつ,Low pressure,低气压,áp suất thấp
1274,天候,てんこう,Weather,天气、气候,thời tiết
1275,天然,てんねん,Natural,天然、自然,"thiên nhiên, tự nhiên"
1276,東西,とうざい,East-west,东西,tây đông
1277,東洋,とうよう,"The Orient, the East",亚洲、东方,phương đông
1278,流れ,ながれ,"Flow, current",流速、流动,dòng chảy
1279,南極,なんきょく,Antarctic,南极、南极洲,nam cực
1280,南北,なんぼく,North-south,南北、南北方向,nam bắc
1281,虹,にじ,Rainbow,彩虹,cầu vồng
1282,日光,にっこう,Sunlight,日光、阳光,ánh sáng mặt trời
1283,沼,ぬま,Swamp,沼泽、池沼,đầm lầy
1284,熱帯,ねったい,Tropics,热带,nhiệt đới
1285,野原,のはら,"Field, plain",原野、野地,cánh đồng
1286,灰,はい,Ash,灰,tro
1287,羽,はね,Wing,翅膀、羽毛,cánh
1288,浜,はま,Beach,海滨、湖滨,bãi biển
1289,日ざし,ひざし,Sunshine,阳光照射,ánh mặt trời
1290,日の入り,ひのいり,Sunset,日落、黄昏,mặt trời lặn
1291,日の出,ひので,Sunrise,日出,mặt trời mọc
1292,吹雪,ふぶき,"Snowstorm, blizzard",暴风雪,bão tuyết
1293,平野,へいや,Plain,平原、平野,đông bằng
1294,北極,ほっきょく,Arctic,北极,Bắc Cực
1295,炎,ほのお,Flame,火焰,lửa
1296,松,まつ,Pine,松树,cây thông
1297,満開,まんかい,Be in full bloom,满开、盛开,nở rộ
1298,満月,まんげつ,Full moon,圆月、满月,trăng tròn
1299,実,み,"Fruit, nut",果实、果子,quả
1300,幹,みき,"Stem, trunk",树干,thân
1301,水たまり,みずたまり,"Puddle, pool",水洼,vũng nước
1302,南半球,みなみはんきゅう,Southern hemisphere,南半球,nam bán cầu
1303,芽,め,Bud,芽,mầm
1304,猛暑,もうしょ,Intense heat,酷热、炎热,nóng khủng khiếp
1305,夕立,ゆうだち,Shower,傍晚的雷阵雨,chiều
1306,夕日,ゆうひ,Setting sun,夕阳,mặt trời chiều
1307,夕焼け,ゆうやけ,Sunset glow,晚霞、火烧云,"ánh hoàng hôn, ánh chiều"
1308,湯げ,ゆげ,Steam,水蒸气,nước sôi
1309,陸,りく,Land,陆地,đất liền
1310,列島,れっとう,Archipelago,列岛,quần đảo
1311,足跡,あしあと,"Footprint, track",足迹、行踪,dấu chân
1312,足元,あしもと,Footing,脚下,bước chân
1313,跡,あと,"Trace, tracks",痕迹、足迹,"dấu, vết"
1314,屋外,おくがい,Outdoors,室外、屋外,ngoài trời
1315,カーブ,,Curve,转弯处、转弯,khúc cua
1316,外部,がいぶ,Outside,外部、外界,bên ngoài
1317,逆,ぎゃく,"Reverse, back to front",逆、倒、反,ngược
1318,区域,くいき,"Area, region",地区、范围,khu vực
1319,空中,くうちゅう,"In the air, mid-air",空中、天空,không trung
1320,区間,くかん,Section (of railway),区间、区段,khu vực
1321,交差,こうさ,"Intersection, crossing",交叉,giao nhau
1322,逆さ（逆さま）,さかさ（さかさま）,Upside down,颠倒、相反,lộn ngược
1323,市外,しがい,Out of town,市外、郊区,ngoại thành
1324,斜線,しゃせん,Diagonal (usually cross-out) line,斜线、对角线,đường chéo
1325,上下,じょうげ,"Up and down, top and bottom",上和下、上下,trên dưới
1326,隙間,すきま,Gap,缝、间隙,khe hở
1327,図形,ずけい,"Figure, diagram",图形、图案,hình vẽ
1328,スペース,,"Space, room",空间,"chỗ, không gian"
1329,正方形,せいほうけい,Square,正方形,hình vuông
1330,先端,せんたん,"Tip, forefront",前端、尖端、前沿,"mũi, đầu nhon, tiên tiến"
1331,先頭,せんとう,"Lead position, (at) head of",前头、排头,dẫn đâu
1332,底,そこ,Bottom,底部,đáy
1333,だ円,だえん,Ellipse,椭圆,hình elip
1334,束,たば,Bundle,束,bó
1335,地区,ちく,District,地区,"khu vực, quận"
1336,地帯,ちたい,"Zone, belt",地带、地区,"vùng, vành đai"
1337,中間,ちゅうかん,"Intermediate, halfway",中间,"giữa, trung gian"
1338,長方形,ちょうほうけい,Rectangle,长方形,hình chữ nhật
1339,直角,ちょっかく,Right angle,直角,góc vuông
1340,都心,としん,City center,市中心,trung tâm
1341,内部,ないぶ,"Internal, inside",内部,phần bên trong
1342,端,はし,"End, edge",端、边缘,rìa
